LC Identifier,Mean Period,Std Dev
P050427900101_ME,9.79509,2.25122e-05
P050427900103_ME,9.79504,2.93223e-05
P050427900102_ME,9.79508,3.58162e-05
P050427900104_ME,9.79504,2.60423e-05
P050419601301_ME,9.79266,3.74807e-05
P050419601001_ME,9.79293,6.16652e-05
P050419600701_ME,9.79348,2.55382e-05
P050419600703_ME,9.79333,0.000297944
P050419600702_ME,9.79336,9.89545e-05
P050419600601_ME,9.79367,3.4094e-05
P050419600602_ME,9.79368,4.98538e-05
P050419600603_ME,9.7937,0.000300403
P050419602102_ME,9.79266,2.90034e-05
P050419602101_ME,9.79259,8.43801e-06
P050419601903_ME,9.79255,6.87881e-05
P050419601902_ME,9.79254,4.22682e-05
P050419601901_ME,9.7925,4.88631e-05
P050419601401_ME,9.79238,0.000875919
P050419601402_ME,9.79261,5.0998e-05
P050419601403_ME,9.79271,0.000183859
P050419602001_ME,9.79256,4.11461e-05
P050419602002_ME,9.79255,1.54532e-05
P050419601603_ME,9.79244,9.04411e-05
P050419601602_ME,9.79251,5.2509e-05
P050419601601_ME,9.79253,0.000129215
P050419600802_ME,9.79332,1.97434e-05
P050419600803_ME,9.79139,0.00272973
P050419600801_ME,9.79333,2.29608e-05
P050419600103_ME,9.79481,0.000187253
P050419600102_ME,9.7947,7.57601e-05
P050419600101_ME,9.79483,1.36967e-05
P050419600403_ME,9.79353,0.000242184
P050419600401_ME,9.79405,2.13635e-05
P050419600402_ME,9.794,5.94592e-05
P050419600903_ME,9.79467,0.000358151
P050419600901_ME,9.79309,6.28204e-05
P050419600902_ME,9.79288,7.51532e-05
P050419601101_ME,9.79287,3.94614e-05
P050419601801_ME,9.7925,2.40832e-06
P050419600303_ME,9.79432,7.21859e-05
P050419600301_ME,9.79434,2.81247e-05
P050419600302_ME,9.7943,9.70433e-05
P050419600501_ME,9.79397,5.27257e-05
P050419600502_ME,9.79384,3.39529e-05
P050419602211_ME,9.79247,6.14264e-05
P050419602206_ME,9.79256,5.27504e-05
P050419602205_ME,9.79258,5.53715e-05
P050419602209_ME,9.79253,4.45264e-05
P050419602203_ME,9.79257,9.76729e-06
P050419602210_ME,9.79251,7.76698e-05
P050419602202_ME,9.79252,5.75222e-05
P050419602207_ME,9.79257,8.73808e-05
P050419602208_ME,9.79248,7.42967e-06
P050419602201_ME,9.79256,4.37676e-05
P050419602204_ME,9.79248,6.78867e-05
P050419601501_ME,9.79244,2.86321e-05
P050419601502_ME,9.79252,4.02492e-06
P050419601701_ME,9.79247,1.5225e-05
P050419600202_ME,9.79445,2.46455e-05
P050419600201_ME,9.79455,4.51176e-05
